Template,Q,QNER,QNE,QURI,RP,ANE,AURI
<ENT> در چه منطقه ای است ؟, تیمورآباد در چه منطقه ای است ؟,"[('تیمورآباد', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",تیمورآباد,"['http://fkg.iust.ac.ir/resource/تیمورآباد', 'http://fkg.iust.ac.ir/resource/تیمورآباد_(دزفول)']",ns0__location_&_ns0__district_&_ns0__part,"['استان لرستان', 'شهرستان مشهد', 'شهرستان هشترود', 'گرگان', 'شهرستان پل دختر', 'استان خوزستان', 'بخش سردشت']","['http://fkg.iust.ac.ir/resource/استان_لرستان', 'http://fkg.iust.ac.ir/resource/شهرستان_مشهد', 'http://fkg.iust.ac.ir/resource/شهرستان_هشترود', 'http://fkg.iust.ac.ir/resource/گرگان', 'http://fkg.iust.ac.ir/resource/شهرستان_پل\u200cدختر', 'http://fkg.iust.ac.ir/resource/استان_خوزستان', 'http://fkg.iust.ac.ir/resource/بخش_سردشت']"
<ENT> در چه دسته ای قرار می گیرد ؟, شاه‌بلوط چینی در چه دسته ای قرار می گیرد ؟,"[('شاه\u200cبلوط', 'B_ent'), ('چینی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",شاه‌بلوط چینی,['http://fkg.iust.ac.ir/resource/شاه\u200cبلوط_چینی'],ns0__order_&_ns0__family_&_ns0__genus,"['راش سانان', 'راشیان', 'شاه بلوط']","['http://fkg.iust.ac.ir/resource/راش\u200cسانان', 'http://fkg.iust.ac.ir/resource/راشیان', 'http://fkg.iust.ac.ir/resource/شاه\u200cبلوط']"
<ENT> در چه شهری قرار دارد ؟, رضاآباد رضاویس در چه شهری قرار دارد ؟,"[('رضاآباد', 'B_ent'), ('رضاویس', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",رضاآباد رضاویس,['http://fkg.iust.ac.ir/resource/رضاآباد_رضاویس'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان دلفان', 'استان لرستان']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_دلفان', 'http://fkg.iust.ac.ir/resource/استان_لرستان']"
<ENT> از چه گروهی است ؟, شهدخوار گلوخاکستری از چه گروهی است ؟,"[('شهدخوار', 'B_ent'), ('گلوخاکستری', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('گروهی', 'O'), ('است', 'O'), ('؟', 'O')]",شهدخوار گلوخاکستری,['http://fkg.iust.ac.ir/resource/شهدخوار_گلوخاکستری'],ns0__order_&_ns0__family_&_ns0__genus,"['گنجشک سانان', 'شهدخواران']","['http://fkg.iust.ac.ir/resource/گنجشک\u200cسانان', 'http://fkg.iust.ac.ir/resource/شهدخواران']"
زادگاه  <ENT> کجاست ؟‌,زادگاه ویکتور مونیوز کجاست ؟‌,"[('زادگاه', 'O'), ('ویکتور', 'B_ent'), ('مونیوز', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",ویکتور مونیوز,['http://fkg.iust.ac.ir/resource/ویکتور_مونیوز'],ns0__birthPlace,"['ساراگوسا', 'اسپانیا']","['http://fkg.iust.ac.ir/resource/ساراگوسا', 'http://fkg.iust.ac.ir/resource/اسپانیا']"
<ENT> در چه منطقه ای است ؟, علی‌بیگلو در چه منطقه ای است ؟,"[('علی\u200cبیگلو', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",علی‌بیگلو,"['http://fkg.iust.ac.ir/resource/علی\u200cبیگلو_(ارومیه)', 'http://fkg.iust.ac.ir/resource/علی\u200cبیگلو_(میاندوآب)', 'http://fkg.iust.ac.ir/resource/علی\u200cبیگلو']",ns0__location_&_ns0__district_&_ns0__part,"['بخش نازلو', 'شهرستان ارومیه', 'بخش مرکزی شهرستان میاندوآب', 'استان آذربایجان غربی', 'شهرستان میانه']","['http://fkg.iust.ac.ir/resource/بخش_نازلو', 'http://fkg.iust.ac.ir/resource/شهرستان_ارومیه', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_میاندوآب', 'http://fkg.iust.ac.ir/resource/استان_آذربایجان_غربی', 'http://fkg.iust.ac.ir/resource/شهرستان_میانه']"
<ENT> در چه منطقه ای است ؟, چهارراه گشین در چه منطقه ای است ؟,"[('چهارراه', 'B_ent'), ('گشین', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",چهارراه گشین,['http://fkg.iust.ac.ir/resource/چهارراه_گشین'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان گچساران', 'بخش باشت']","['http://fkg.iust.ac.ir/resource/شهرستان_گچساران', 'http://fkg.iust.ac.ir/resource/بخش_باشت']"
<ENT> از چه گروهی است ؟, کبوتر زیتونی کومور از چه گروهی است ؟,"[('کبوتر', 'B_ent'), ('زیتونی', 'I_ent'), ('کومور', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('گروهی', 'O'), ('است', 'O'), ('؟', 'O')]",کبوتر زیتونی کومور,['http://fkg.iust.ac.ir/resource/کبوتر_زیتونی_کومور'],ns0__order_&_ns0__family_&_ns0__genus,"['کبوترسانان', 'کبوتر', 'کبوتر  سرده']","['http://fkg.iust.ac.ir/resource/کبوترسانان', 'http://fkg.iust.ac.ir/resource/کبوتر', 'http://fkg.iust.ac.ir/resource/کبوتر_(سرده)']"
<ENT> در چه منطقه ای است ؟, تیمورسوری سفلی در چه منطقه ای است ؟,"[('تیمورسوری', 'B_ent'), ('سفلی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",تیمورسوری سفلی,['http://fkg.iust.ac.ir/resource/تیمورسوری_سفلی'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان سلسله', 'بخش فیروزآباد  سلسله']","['http://fkg.iust.ac.ir/resource/شهرستان_سلسله', 'http://fkg.iust.ac.ir/resource/بخش_فیروزآباد_(سلسله)']"
ستاره معروف <ENT> کیست ؟,ستاره معروف کبرا کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('کبرا', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",کبرا,"['http://fkg.iust.ac.ir/resource/کبرا_(فیلم)', 'http://fkg.iust.ac.ir/resource/کبرا_(فیلم_۱۹۲۵)']",ns0__starring,"['آنیتا اکبرگ', 'دانا اندروز', 'پیتر مارتل', 'Claudio Ruffini', 'جرج ایستمن  بازیگر', 'Lidia Biondi', 'Giovanni Petrucci', 'ایلین پرسی', 'ناتاشا رامبووا', 'رودولف والنتینو', 'گرترود اولمستد', 'نیتا نالدی']","['http://fkg.iust.ac.ir/resource/آنیتا_اکبرگ', 'http://fkg.iust.ac.ir/resource/دانا_اندروز', 'http://fkg.iust.ac.ir/resource/پیتر_مارتل', 'http://fkg.iust.ac.ir/resource/Claudio_Ruffini', 'http://fkg.iust.ac.ir/resource/جرج_ایستمن_(بازیگر)', 'http://fkg.iust.ac.ir/resource/Lidia_Biondi', 'http://fkg.iust.ac.ir/resource/Giovanni_Petrucci', 'http://fkg.iust.ac.ir/resource/ایلین_پرسی', 'http://fkg.iust.ac.ir/resource/ناتاشا_رامبووا', 'http://fkg.iust.ac.ir/resource/رودولف_والنتینو', 'http://fkg.iust.ac.ir/resource/گرترود_اولمستد', 'http://fkg.iust.ac.ir/resource/نیتا_نالدی']"
<ENT> ملیتش چیه ؟, اسکات آرفیلد ملیتش چیه ؟,"[('اسکات', 'B_ent'), ('آرفیلد', 'I_ent'), ('ملیتش', 'O'), ('چیه', 'O'), ('؟', 'O')]",اسکات آرفیلد,['http://fkg.iust.ac.ir/resource/اسکات_آرفیلد'],ns0__nationality,['اسکاتلند'],['http://fkg.iust.ac.ir/resource/اسکاتلند']
زادگاه  <ENT> کجاست ؟‌,زادگاه مجتبی سید جعفر کجاست ؟‌,"[('زادگاه', 'O'), ('مجتبی', 'B_ent'), ('سید', 'I_ent'), ('جعفر', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",مجتبی سید جعفر,['http://fkg.iust.ac.ir/resource/مجتبی_سید_جعفر'],ns0__birthPlace,"['دوحه', 'قطر']","['http://fkg.iust.ac.ir/resource/دوحه', 'http://fkg.iust.ac.ir/resource/قطر']"
<ENT> از توابع کدام شهر است ؟, کبریک از توابع کدام شهر است ؟,"[('کبریک', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",کبریک,['http://fkg.iust.ac.ir/resource/کبریک'],ns0__village,['شهرستان زنجان'],['http://fkg.iust.ac.ir/resource/شهرستان_زنجان']
ستاره معروف <ENT> کیست ؟,ستاره معروف اسب‌های وحشی کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('اسب\u200cهای', 'B_ent'), ('وحشی', 'I_ent'), ('کیست', 'O'), ('؟', 'O')]",اسب‌های وحشی,['http://fkg.iust.ac.ir/resource/اسب\u200cهای_وحشی_(فیلم_۲۰۱۵)'],ns0__starring,"['Luciana Duvall', 'جیمز فرانکو', 'آدریانا بارازا', 'جاش هارتنت', 'جیم پرک']","['http://fkg.iust.ac.ir/resource/Luciana_Duvall', 'http://fkg.iust.ac.ir/resource/جیمز_فرانکو', 'http://fkg.iust.ac.ir/resource/آدریانا_بارازا', 'http://fkg.iust.ac.ir/resource/جاش_هارتنت', 'http://fkg.iust.ac.ir/resource/جیم_پرک']"
شغل <ENT> چیست ؟,شغل آنا گستایر چیست ؟,"[('شغل', 'O'), ('آنا', 'B_ent'), ('گستایر', 'I_ent'), ('چیست', 'O'), ('؟', 'O')]",آنا گستایر,['http://fkg.iust.ac.ir/resource/آنا_گستایر'],ns0__occupation,"['کمدین', 'خواننده', 'هنرپیشه']","['http://fkg.iust.ac.ir/resource/کمدین', 'http://fkg.iust.ac.ir/resource/خواننده', 'http://fkg.iust.ac.ir/resource/هنرپیشه']"
<ENT> در چه شهری قرار دارد ؟, شاه مختار در چه شهری قرار دارد ؟,"[('شاه', 'B_ent'), ('مختار', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",شاه مختار,['http://fkg.iust.ac.ir/resource/شاه_مختار'],ns0__location_&_ns0__district_&_ns0__part,"['استان کهگیلویه و بویراحمد', 'بخش مرکزی شهرستان بویراحمد']","['http://fkg.iust.ac.ir/resource/استان_کهگیلویه_و_بویراحمد', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_بویراحمد']"
<ENT> از چه تیره ای است؟, استافیلوکوک فلیس از چه تیره ای است؟,"[('استافیلوکوک', 'B_ent'), ('فلیس', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('تیره', 'O'), ('ای', 'O'), ('است؟', 'O')]",استافیلوکوک فلیس,['http://fkg.iust.ac.ir/resource/استافیلوکوک_فلیس'],ns0__order_&_ns0__family_&_ns0__genus,"['باسیلالس', 'استافیلوکوکاسیه', 'استافیلوکوک']","['http://fkg.iust.ac.ir/resource/باسیلالس', 'http://fkg.iust.ac.ir/resource/استافیلوکوکاسیه', 'http://fkg.iust.ac.ir/resource/استافیلوکوک']"
<ENT> در چه ژانری است ؟‌, نیپنتیز پولچرا در چه ژانری است ؟‌,"[('نیپنتیز', 'B_ent'), ('پولچرا', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('ژانری', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",نیپنتیز پولچرا,['http://fkg.iust.ac.ir/resource/نیپنتیز_پولچرا'],ns0__genre,['گیاه پارچ'],['http://fkg.iust.ac.ir/resource/گیاه_پارچ']
<ENT> در کجا از دنیا رفت ؟, کبی لارتی در کجا از دنیا رفت ؟,"[('کبی', 'B_ent'), ('لارتی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('از', 'O'), ('دنیا', 'O'), ('رفت', 'O'), ('؟', 'O')]",کبی لارتی,['http://fkg.iust.ac.ir/resource/کبی_لارتی'],ns0__deathPlace,['استکهلم'],['http://fkg.iust.ac.ir/resource/استکهلم']
ژانر <ENT> چیست ؟,ژانر شاه‌ماهی گرد دوباله چیست ؟,"[('ژانر', 'O'), ('شاه\u200cماهی', 'B_ent'), ('گرد', 'I_ent'), ('دوباله', 'I_ent'), ('چیست', 'O'), ('؟', 'O')]",شاه‌ماهی گرد دوباله,['http://fkg.iust.ac.ir/resource/شاه\u200cماهی_گرد_دوباله'],ns0__genre,['شگ ماهیان'],['http://fkg.iust.ac.ir/resource/شگ\u200cماهیان']
<ENT> در چه شهری قرار دارد ؟, زیریان در چه شهری قرار دارد ؟,"[('زیریان', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",زیریان,['http://fkg.iust.ac.ir/resource/زیریان'],ns0__location_&_ns0__district_&_ns0__part,['شهرستان کلیبر'],['http://fkg.iust.ac.ir/resource/شهرستان_کلیبر']
<ENT> در چه منطقه ای است ؟, تیربازار در چه منطقه ای است ؟,"[('تیربازار', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",تیربازار,['http://fkg.iust.ac.ir/resource/تیربازار'],ns0__location_&_ns0__district_&_ns0__part,"['استان لرستان', 'بخش مرکزی شهرستان خرم آباد']","['http://fkg.iust.ac.ir/resource/استان_لرستان', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_خرم\u200cآباد']"
<ENT> در چه شهری قرار دارد ؟, علی‌آباد سرتنگ در چه شهری قرار دارد ؟,"[('علی\u200cآباد', 'B_ent'), ('سرتنگ', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",علی‌آباد سرتنگ,['http://fkg.iust.ac.ir/resource/علی\u200cآباد_سرتنگ'],ns0__location_&_ns0__district_&_ns0__part,"['بخش بیضا', 'شهرستان سپیدان']","['http://fkg.iust.ac.ir/resource/بخش_بیضا', 'http://fkg.iust.ac.ir/resource/شهرستان_سپیدان']"
<ENT> در چه منطقه ای است ؟, نیستانه در چه منطقه ای است ؟,"[('نیستانه', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",نیستانه,['http://fkg.iust.ac.ir/resource/نیستانه'],ns0__location_&_ns0__district_&_ns0__part,"['استان خراسان شمالی', 'بخش مرکزی شهرستان بجنورد']","['http://fkg.iust.ac.ir/resource/استان_خراسان_شمالی', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_بجنورد']"
<ENT> به کدام تیره تعلق دارد؟, اسفناج آبی به کدام تیره تعلق دارد؟,"[('اسفناج', 'B_ent'), ('آبی', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",اسفناج آبی,['http://fkg.iust.ac.ir/resource/اسفناج_آبی'],ns0__order_&_ns0__family_&_ns0__genus,"['بادنجان سانان', 'پیچکیان', 'نیلوفر پیچ  سرده']","['http://fkg.iust.ac.ir/resource/بادنجان\u200cسانان', 'http://fkg.iust.ac.ir/resource/پیچکیان', 'http://fkg.iust.ac.ir/resource/نیلوفر_پیچ_(سرده)']"
چه کسی کارگردان  <ENT> می باشد ؟,چه کسی کارگردان شاهزاده و مانکن می باشد ؟,"[('چه', 'O'), ('کسی', 'O'), ('کارگردان', 'O'), ('شاهزاده', 'B_ent'), ('و', 'I_ent'), ('مانکن', 'I_ent'), ('می', 'O'), ('باشد', 'O'), ('؟', 'O')]",شاهزاده و مانکن,['http://fkg.iust.ac.ir/resource/شاهزاده_و_مانکن'],ns0__director,['لارنس الیویه'],['http://fkg.iust.ac.ir/resource/لارنس_الیویه']
زادگاه  <ENT> کجاست ؟‌,زادگاه دنیل آموکاچی کجاست ؟‌,"[('زادگاه', 'O'), ('دنیل', 'B_ent'), ('آموکاچی', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",دنیل آموکاچی,['http://fkg.iust.ac.ir/resource/دنیل_آموکاچی'],ns0__birthPlace,"['نیجریه', 'کادونا']","['http://fkg.iust.ac.ir/resource/نیجریه', 'http://fkg.iust.ac.ir/resource/کادونا']"
کارگردان  <ENT> کیست ؟,کارگردان مکانیک کیست ؟,"[('کارگردان', 'O'), ('مکانیک', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",مکانیک,['http://fkg.iust.ac.ir/resource/مکانیک_(فیلم_۲۰۰۵)'],ns0__director,['دولف لاندگرن'],['http://fkg.iust.ac.ir/resource/دولف_لاندگرن']
<ENT> در چه شهری قرار دارد ؟, ویسیان در چه شهری قرار دارد ؟,"[('ویسیان', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",ویسیان,['http://fkg.iust.ac.ir/resource/ویسیان'],ns0__location_&_ns0__district_&_ns0__part,"['بخش ویسیان', 'شهرستان دوره']","['http://fkg.iust.ac.ir/resource/بخش_ویسیان', 'http://fkg.iust.ac.ir/resource/شهرستان_دوره']"
<ENT> در چه شهری قرار دارد ؟, بینگ در چه شهری قرار دارد ؟,"[('بینگ', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",بینگ,['http://fkg.iust.ac.ir/resource/بینگ_(میناب)'],ns0__location_&_ns0__district_&_ns0__part,"['استان هرمزگان', 'بخش سندرک']","['http://fkg.iust.ac.ir/resource/استان_هرمزگان', 'http://fkg.iust.ac.ir/resource/بخش_سندرک']"
<ENT> در چه منطقه ای است ؟, کبوترابکش در چه منطقه ای است ؟,"[('کبوترابکش', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",کبوترابکش,['http://fkg.iust.ac.ir/resource/کبوترابکش'],ns0__location_&_ns0__district_&_ns0__part,"['بخش چابکسر', 'استان گیلان']","['http://fkg.iust.ac.ir/resource/بخش_چابکسر', 'http://fkg.iust.ac.ir/resource/استان_گیلان']"
<ENT> به کدام تیره تعلق دارد؟, نیلوفر سفید به کدام تیره تعلق دارد؟,"[('نیلوفر', 'B_ent'), ('سفید', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",نیلوفر سفید,['http://fkg.iust.ac.ir/resource/نیلوفر_سفید'],ns0__order_&_ns0__family_&_ns0__genus,"['بادنجان سانان', 'پیچکیان', 'نیلوفر پیچ  سرده']","['http://fkg.iust.ac.ir/resource/بادنجان\u200cسانان', 'http://fkg.iust.ac.ir/resource/پیچکیان', 'http://fkg.iust.ac.ir/resource/نیلوفر_پیچ_(سرده)']"
<ENT> در کجا متولد شد ؟, ریک مودی در کجا متولد شد ؟,"[('ریک', 'B_ent'), ('مودی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",ریک مودی,['http://fkg.iust.ac.ir/resource/ریک_مودی'],ns0__birthPlace,"['نیویورک', 'آمریکا', 'ایالت نیویورک']","['http://fkg.iust.ac.ir/resource/نیویورک', 'http://fkg.iust.ac.ir/resource/آمریکا', 'http://fkg.iust.ac.ir/resource/ایالت_نیویورک']"
زادگاه  <ENT> کجاست ؟‌,زادگاه دولورس اردیا کجاست ؟‌,"[('زادگاه', 'O'), ('دولورس', 'B_ent'), ('اردیا', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",دولورس اردیا,['http://fkg.iust.ac.ir/resource/دولورس_اردیا'],ns0__birthPlace,['لاپاز  باخا کالیفرنیا سور'],['http://fkg.iust.ac.ir/resource/لاپاز،_باخا_کالیفرنیا_سور']
چه کسی تهیه کننده  <ENT> است ؟,چه کسی تهیه کننده بشخصه است ؟,"[('چه', 'O'), ('کسی', 'O'), ('تهیه', 'O'), ('کننده', 'O'), ('بشخصه', 'B_ent'), ('است', 'O'), ('؟', 'O')]",بشخصه,['http://fkg.iust.ac.ir/resource/بشخصه_(ترانه_پینک_فلوید)'],ns0__producer,"['باب ازرین', 'دیوید گیلمور', 'راجر واترز', 'جیمز گاتری']","['http://fkg.iust.ac.ir/resource/باب_ازرین', 'http://fkg.iust.ac.ir/resource/دیوید_گیلمور', 'http://fkg.iust.ac.ir/resource/راجر_واترز', 'http://fkg.iust.ac.ir/resource/جیمز_گاتری']"
مردم در <ENT> به چه زبانی سخن می‌گویند ؟,مردم در شاد در کنار هم به چه زبانی سخن می‌گویند ؟,"[('مردم', 'O'), ('در', 'O'), ('شاد', 'B_ent'), ('در', 'I_ent'), ('کنار', 'I_ent'), ('هم', 'I_ent'), ('به', 'O'), ('چه', 'O'), ('زبانی', 'O'), ('سخن', 'O'), ('می\u200cگویند', 'O'), ('؟', 'O')]",شاد در کنار هم,['http://fkg.iust.ac.ir/resource/شاد_در_کنار_هم_(فیلم_۱۹۹۷)'],ns0__language,"['اسپانیایی', 'انگلیسی', 'ماندرین', 'زبان کانتونی']","['http://fkg.iust.ac.ir/resource/اسپانیایی', 'http://fkg.iust.ac.ir/resource/انگلیسی', 'http://fkg.iust.ac.ir/resource/ماندرین', 'http://fkg.iust.ac.ir/resource/زبان_کانتونی']"
<ENT> در کجا متولد شد ؟, استیون زوبر در کجا متولد شد ؟,"[('استیون', 'B_ent'), ('زوبر', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",استیون زوبر,['http://fkg.iust.ac.ir/resource/استیون_زوبر'],ns0__birthPlace,"['ونترتور', 'کانتون زوریخ', 'سوئیس']","['http://fkg.iust.ac.ir/resource/ونترتور', 'http://fkg.iust.ac.ir/resource/کانتون_زوریخ', 'http://fkg.iust.ac.ir/resource/سوئیس']"
<ENT> در کجا به دنیا امده است؟, نیال تویبین در کجا به دنیا امده است؟,"[('نیال', 'B_ent'), ('تویبین', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",نیال تویبین,['http://fkg.iust.ac.ir/resource/نیال_تویبین'],ns0__birthPlace,"['شهرستان کورک', 'کورک  ایرلند', 'ایرلند']","['http://fkg.iust.ac.ir/resource/شهرستان_کورک', 'http://fkg.iust.ac.ir/resource/کورک_(ایرلند)', 'http://fkg.iust.ac.ir/resource/ایرلند']"
<ENT> در چه شهری قرار دارد ؟, کلیکان در چه شهری قرار دارد ؟,"[('کلیکان', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",کلیکان,['http://fkg.iust.ac.ir/resource/کلیکان'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان آمل', 'استان مازندران']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_آمل', 'http://fkg.iust.ac.ir/resource/استان_مازندران']"
<ENT> در چه منطقه ای است ؟, لاور گردو در چه منطقه ای است ؟,"[('لاور', 'B_ent'), ('گردو', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",لاور گردو,['http://fkg.iust.ac.ir/resource/لاور_گردو'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان حاجی آباد', 'استان هرمزگان']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_حاجی\u200cآباد', 'http://fkg.iust.ac.ir/resource/استان_هرمزگان']"
<ENT> در چه منطقه ای است ؟, طجرعلوی در چه منطقه ای است ؟,"[('طجرعلوی', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",طجرعلوی,['http://fkg.iust.ac.ir/resource/طجرعلوی'],ns0__location_&_ns0__district_&_ns0__part,"['استان همدان', 'بخش جوکار']","['http://fkg.iust.ac.ir/resource/استان_همدان', 'http://fkg.iust.ac.ir/resource/بخش_جوکار']"
<ENT> در چه شهری قرار دارد ؟, علی‌بزایه در چه شهری قرار دارد ؟,"[('علی\u200cبزایه', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",علی‌بزایه,['http://fkg.iust.ac.ir/resource/علی\u200cبزایه'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان رشت', 'بخش لشت نشا']","['http://fkg.iust.ac.ir/resource/شهرستان_رشت', 'http://fkg.iust.ac.ir/resource/بخش_لشت_نشا']"
زادگاه  <ENT> کجاست ؟‌,زادگاه ریچارد بون کجاست ؟‌,"[('زادگاه', 'O'), ('ریچارد', 'B_ent'), ('بون', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",ریچارد بون,['http://fkg.iust.ac.ir/resource/ریچارد_بون'],ns0__birthPlace,['لس آنجلس'],['http://fkg.iust.ac.ir/resource/لس_آنجلس']
<ENT> در چه منطقه ای است ؟, هلستان در چه منطقه ای است ؟,"[('هلستان', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",هلستان,['http://fkg.iust.ac.ir/resource/هلستان'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان نوشهر', 'استان گیلان']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_نوشهر', 'http://fkg.iust.ac.ir/resource/استان_گیلان']"
شغل <ENT> چیست ؟,شغل ابراهیم اسکوبی چیست ؟,"[('شغل', 'O'), ('ابراهیم', 'B_ent'), ('اسکوبی', 'I_ent'), ('چیست', 'O'), ('؟', 'O')]",ابراهیم اسکوبی,['http://fkg.iust.ac.ir/resource/ابراهیم_اسکوبی'],ns0__occupation,['شاعر'],['http://fkg.iust.ac.ir/resource/شاعر']
اثر <ENT> چه ژانری دارد ؟,اثر بیلی لی ریلی چه ژانری دارد ؟,"[('اثر', 'O'), ('بیلی', 'B_ent'), ('لی', 'I_ent'), ('ریلی', 'I_ent'), ('چه', 'O'), ('ژانری', 'O'), ('دارد', 'O'), ('؟', 'O')]",بیلی لی ریلی,['http://fkg.iust.ac.ir/resource/بیلی_لی_ریلی'],ns0__genre,"['موسیقی بلوز', 'rockabilly', 'country blues', 'راک اند رول']","['http://fkg.iust.ac.ir/resource/موسیقی_بلوز', 'http://fkg.iust.ac.ir/resource/rockabilly', 'http://fkg.iust.ac.ir/resource/country_blues', 'http://fkg.iust.ac.ir/resource/راک_اند_رول']"
<ENT> چه ساز موسیقی  را خوب می‌ نوازد ؟, آنتونیو ری چه ساز موسیقی را خوب می‌ نوازد ؟,"[('آنتونیو', 'B_ent'), ('ری', 'I_ent'), ('چه', 'O'), ('ساز', 'O'), ('موسیقی', 'O'), ('را', 'O'), ('خوب', 'O'), ('می\u200c', 'O'), ('نوازد', 'O'), ('؟', 'O')]",آنتونیو ری,['http://fkg.iust.ac.ir/resource/آنتونیو_ری'],ns0__instrument,['گیتار'],['http://fkg.iust.ac.ir/resource/گیتار']
